id	url	html_path	headers_path	html_sha256	headers_sha256	retrieved_at	http_status	last_modified	notes
overview	https://microsoft.github.io/apm/producer/	knowledge/primary/APMP/pages/overview/index.html	knowledge/primary/APMP/pages/overview/response-headers.txt	8bec084a529c2ab28a443f053572efdad3cb0fa688a64236698c39223889c199	5565d41de46f4ba37c4cc1db28469c1adc1cf558091929272a3eb9b9a93e54dd	2026-06-08T13:15:55Z	200	Thu, 04 Jun 2026 15:35:43 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
author-primitives	https://microsoft.github.io/apm/producer/author-primitives/	knowledge/primary/APMP/pages/author-primitives/index.html	knowledge/primary/APMP/pages/author-primitives/response-headers.txt	273422a5a355e1573c444b1302036ce09fd008210ed5ba9a336b523b097238fd	7735fadadf47d1388d4e16deb392721d1c5e55d4f8a12efafe860c43558910c7	2026-06-08T13:15:57Z	200	Thu, 04 Jun 2026 15:35:43 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
author-primitives-hooks-and-commands	https://microsoft.github.io/apm/producer/author-primitives/hooks-and-commands/	knowledge/primary/APMP/pages/author-primitives/hooks-and-commands/index.html	knowledge/primary/APMP/pages/author-primitives/hooks-and-commands/response-headers.txt	2d9da4d8caa87186ed85ec97ad2c5bf648199b871563a983eb5bb1f1886a588c	de251924a0f78379c462e11172369e54d36f978c1346ab893d490c5a032bb24b	2026-06-08T13:15:59Z	200	Thu, 04 Jun 2026 15:35:43 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
author-primitives-instructions-and-agents	https://microsoft.github.io/apm/producer/author-primitives/instructions-and-agents/	knowledge/primary/APMP/pages/author-primitives/instructions-and-agents/index.html	knowledge/primary/APMP/pages/author-primitives/instructions-and-agents/response-headers.txt	58a63901feacbdcd8a173270228f3e135017d335b2a7e07116362bc31612ab5a	72f08fad0884a084be59eed5c013c0bb0bdc9a35237e107435cc683b6fa563f7	2026-06-08T13:16:01Z	200	Thu, 04 Jun 2026 15:35:43 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
author-primitives-mcp-as-primitive	https://microsoft.github.io/apm/producer/author-primitives/mcp-as-primitive/	knowledge/primary/APMP/pages/author-primitives/mcp-as-primitive/index.html	knowledge/primary/APMP/pages/author-primitives/mcp-as-primitive/response-headers.txt	c0a2ab96264129f739afddf65fc23e858ee10129b445df111dc5686e97c167da	ccde7444bc2900ce2c95c542203550a60beb701b02766f04771b150ead14d293	2026-06-08T13:16:03Z	200	Thu, 04 Jun 2026 15:35:43 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
author-primitives-prompts	https://microsoft.github.io/apm/producer/author-primitives/prompts/	knowledge/primary/APMP/pages/author-primitives/prompts/index.html	knowledge/primary/APMP/pages/author-primitives/prompts/response-headers.txt	a53dc24190a421140288d6481bb1892796eebff86b41acd061cbe4c2f3def53f	6f56c897c28a885780c37d693884ae638a8b64408cfa64a4800eb566b2e389cb	2026-06-08T13:16:05Z	200	Thu, 04 Jun 2026 15:35:43 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
author-primitives-skills	https://microsoft.github.io/apm/producer/author-primitives/skills/	knowledge/primary/APMP/pages/author-primitives/skills/index.html	knowledge/primary/APMP/pages/author-primitives/skills/response-headers.txt	d070c95c28ff79291ec627e44f5d2d441de12c53e7c5c81b5e8eede4efa1ae15	07a9419e56c8b30b373b1a8c70cf882426e714f3bb8d26f62250df2abcb31bf3	2026-06-08T13:16:07Z	200	Thu, 04 Jun 2026 15:35:43 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
compile	https://microsoft.github.io/apm/producer/compile/	knowledge/primary/APMP/pages/compile/index.html	knowledge/primary/APMP/pages/compile/response-headers.txt	15892fb6dcc02234d7c209de4f7589ac629c180b6cc5cfe6fa293a2036e82c40	d90db5b9ed575e348a873a3f7bbb89a4041ca9ac259086eb8683f2c2faef262a	2026-06-08T13:16:09Z	200	Thu, 04 Jun 2026 15:35:43 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
pack-a-bundle	https://microsoft.github.io/apm/producer/pack-a-bundle/	knowledge/primary/APMP/pages/pack-a-bundle/index.html	knowledge/primary/APMP/pages/pack-a-bundle/response-headers.txt	bca18b31868eb68bb00cf6f466c8654c2b6ef9d0d7a758a7ced6bd641f6772d6	6ce7157e3775251de9f377a812e678d0f8c115928267d32611832ff9d8cfc065	2026-06-08T13:16:11Z	200	Thu, 04 Jun 2026 15:35:43 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
package-relative-links	https://microsoft.github.io/apm/producer/package-relative-links/	knowledge/primary/APMP/pages/package-relative-links/index.html	knowledge/primary/APMP/pages/package-relative-links/response-headers.txt	bd99a215df255f64c93d7a1729dd0a21c39678c9475d23c5cbcdb60ccbb88051	2b3acc82bc412e3c3d1909f7f5e84bc9bc87305845e12b8e7807ef52e974bc34	2026-06-08T13:16:12Z	200	Thu, 04 Jun 2026 15:35:43 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
preview-and-validate	https://microsoft.github.io/apm/producer/preview-and-validate/	knowledge/primary/APMP/pages/preview-and-validate/index.html	knowledge/primary/APMP/pages/preview-and-validate/response-headers.txt	01a65302b92a213a9cecc5c09e2fb23404cff0bedbed582d9ff1b3d8da357457	e215de114ca0ea413555e7ac84a427a1a9b335892636a832c05306ec1011baa2	2026-06-08T13:16:14Z	200	Thu, 04 Jun 2026 15:35:43 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
publish-to-a-marketplace	https://microsoft.github.io/apm/producer/publish-to-a-marketplace/	knowledge/primary/APMP/pages/publish-to-a-marketplace/index.html	knowledge/primary/APMP/pages/publish-to-a-marketplace/response-headers.txt	5954dc21835c0ffcc5df06a69dceb92a0eb1540d3cbc17ed770153cf571cb772	0885ce58c3d8fd16ef847a47415a3699570d52461313cee113530c1c483ebeff	2026-06-08T13:16:16Z	200	Thu, 04 Jun 2026 15:35:43 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
