id	url	html_path	headers_path	html_sha256	headers_sha256	retrieved_at	http_status	last_modified	notes
agent-approvals-security	https://developers.openai.com/codex/agent-approvals-security	knowledge/primary/CODX/pages/agent-approvals-security/index.html	knowledge/primary/CODX/pages/agent-approvals-security/response-headers.txt	42cdc41b9dccc950394dc6f8bb6f75e8a41cc24a1fd2218fd05fb7c09dfef3ad	6ddd765f8c6d0ea85329029ac3848c80c4c396bd5cc97daeb59453bbe1313bc4	2026-06-08T13:16:25Z	200	Mon, 08 Jun 2026 12:35:12 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
agents-md	https://developers.openai.com/codex/guides/agents-md	knowledge/primary/CODX/pages/agents-md/index.html	knowledge/primary/CODX/pages/agents-md/response-headers.txt	f21d44b5cd0ad89b1b99d7a4d96a52e111571840d998d18007d7de4ecd813ed8	45c30da847057ee7da0d3eb505372f2bf31c3a22d44a663d4669b5c9761ae4c8	2026-06-08T13:16:27Z	200	Mon, 08 Jun 2026 12:31:40 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
app	https://developers.openai.com/codex/app	knowledge/primary/CODX/pages/app/index.html	knowledge/primary/CODX/pages/app/response-headers.txt	c811ed00b3825b486b1792943eb10afee49b04f2ef4d1f91355bfa846c0ae88b	4b59489a33b1b5dac30f384b42958c1e17754711ff86efdcdfafdad036d17276	2026-06-08T13:16:29Z	200	Mon, 08 Jun 2026 12:29:31 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
app-server	https://developers.openai.com/codex/app-server	knowledge/primary/CODX/pages/app-server/index.html	knowledge/primary/CODX/pages/app-server/response-headers.txt	d978da48ce4482ab7650937d1797b86420d3fb41cfa57466242edd8e76043c02	13e1764062eb6a27ec57b829a0dd7674fb4d4025980c052b1bfe549a2a716942	2026-06-08T13:16:32Z	200	Mon, 08 Jun 2026 12:46:50 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
app/automations	https://developers.openai.com/codex/app/automations	knowledge/primary/CODX/pages/app/automations/index.html	knowledge/primary/CODX/pages/app/automations/response-headers.txt	529914ed3bbf4a0bf30b3e08d9c5410e63326c71548afff87319b7f4a6d5491e	3048e2d66cbf0f5032d084b4fece70ae012807a92ec79b1323a5ed4f3458a469	2026-06-08T13:16:35Z	200	Mon, 08 Jun 2026 12:34:51 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
app/commands	https://developers.openai.com/codex/app/commands	knowledge/primary/CODX/pages/app/commands/index.html	knowledge/primary/CODX/pages/app/commands/response-headers.txt	8b6bd223fcd1b9e85f2294d93ed19205c3bdff2e6eb5c702183252c109cf0e60	1da16c82aa8313238789d4d2665bb8e327a1a0deecf98db4741889f1fcb39559	2026-06-08T13:16:38Z	200	Mon, 08 Jun 2026 12:44:45 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
app/features	https://developers.openai.com/codex/app/features	knowledge/primary/CODX/pages/app/features/index.html	knowledge/primary/CODX/pages/app/features/response-headers.txt	e7d0bcb2a901c372788c3e8c5cece8fdfe89e6fe5f13d5c1ee0588acf9db35a7	90b6e5103d81eabafc1dd548ef97b77833c53758a9679431fc0291158b1246f4	2026-06-08T13:16:40Z	200	Mon, 08 Jun 2026 12:39:51 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
app/local-environments	https://developers.openai.com/codex/app/local-environments	knowledge/primary/CODX/pages/app/local-environments/index.html	knowledge/primary/CODX/pages/app/local-environments/response-headers.txt	60afea9bb88b7c45b4a230768d32d9b1331e0efa991ec5bc7f82ab268cc3b3d3	813248c32d17efb4828031dcb097b6d40c872cb332908d4fee2385771d283253	2026-06-08T13:16:42Z	200	Mon, 08 Jun 2026 12:39:56 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
app/settings	https://developers.openai.com/codex/app/settings	knowledge/primary/CODX/pages/app/settings/index.html	knowledge/primary/CODX/pages/app/settings/response-headers.txt	31d253292f1ebd426ecb24e4931d7e85a72499e99b4ecfa3c25ebcbfe0f16cb3	84c486d635f9a034f532014454bd36fa9f3894d0b62ff1db63ef607be76cbdc1	2026-06-08T13:16:44Z	200	Mon, 08 Jun 2026 12:34:46 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
app/troubleshooting	https://developers.openai.com/codex/app/troubleshooting	knowledge/primary/CODX/pages/app/troubleshooting/index.html	knowledge/primary/CODX/pages/app/troubleshooting/response-headers.txt	d0caa320029dadf13e1e094d71b1a4cb55c6e2a58960115b7e2401f6796508ac	d3c91e14de03f72b7db707b08fbbf6d96b2e51ce386f0394dc4529d27bb8291a	2026-06-08T13:16:45Z	200	Mon, 08 Jun 2026 12:47:06 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
